รายได้เฉลี่ยต่อเดือนต่อครัวเรือน จำแนกตามภาค และจังหวัด พ.ศ. 2541 - 2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly Income Per Household: 1998 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,บาท   Baht  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ลำพูน ,,8722,10231,11328,11843,14361,14104,20048,18778,22505,23834,     Lamphun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ลำปาง ,,14177,9735,9759,10576,15585,13531,14020,18454,19262,20466,     Lampang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อุตรดิตถ์ ,,10044,7270,8581,10940,14220,15001,15865,17602,21344,19239,     Uttaradit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     แพร่ ,,8522,9366,10048,11333,12591,14045,13034,18157,19418,21796,     Phrae ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     น่าน ,,7387,7334,8130,10751,10590,11407,14624,16249,17598,17886,     Nan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พะเยา ,,7491,5928,9520,9643,10352,11348,13189,14457,15491,17673,     Phayao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เชียงราย ,,8924,7930,8369,8920,10495,13736,13278,15034,13510,13497,     Chiang Rai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     แม่ฮ่องสอน ,,5934,6317,6696,8676,6544,7245,7936,9024,8821,15119,     Mae Hong Son ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครสวรรค์ ,,9500,7602,9660,10200,14953,15141,17127,21561,24158,21952,     Nakhon Sawan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อุทัยธานี ,,7887,9598,6519,9817,13258,12036,17425,18487,20150,20115,     Uthai Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     กำแพงเพชร ,,9769,12354,12583,12776,15337,15559,18115,18672,22083,20140,     Kamphaeng Phet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ตาก ,,9423,9674,7763,9549,10963,10791,12453,12936,17020,20079,     Tak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สุโขทัย ,,10475,7156,8299,11427,13843,12720,15411,18098,24121,22252,     Sukhothai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พิษณุโลก ,,12068,8965,10637,12751,14117,13364,15779,17474,27490,19235,     Phitsanulok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พิจิตร ,,11185,8318,10887,10951,13488,15603,21821,18130,21664,22101,     Phichit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เพชรบูรณ์ ,,8051,8435,9548,9572,11323,12914,17096,15678,19918,21337,     Phetchabun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคตะวันออกเฉียงเหนือ ,,8546,7765,9279,10139,11815,12995,15358,18217,19181,21094, Northeastern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครราชสีมา ,,9418,8415,9494,11398,13320,14177,19158,19399,22479,26376,     Nakhon Ratchasima ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     บุรีรัมย์ ,,8365,8137,7861,8632,9698,10263,13734,17316,15624,18480,     Buri Ram ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สุรินทร์ ,,6398,6226,6675,8095,11850,12257,11310,18287,21351,20315,     Surin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ศรีสะเกษ ,,7669,7593,7564,8745,9406,10782,10666,13944,16207,18793,     Si Sa Ket ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อุบลราชธานี ,,10267,9874,12258,11697,12035,14534,16747,21660,22344,20453,     Ubon Ratchathani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ยโสธร ,,7478,4826,6045,9410,9969,10040,11813,16767,14418,19518,     Yasothon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ชัยภูมิ ,,6220,7683,8364,9161,11551,11253,12380,15794,18641,23830,     Chaiyaphum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อำนาจเจริญ ,,8139,7711,9307,11423,13134,11889,14763,15975,17273,21173,     Amnat Charoen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     บึงกาฬ ,,,,,,,,,,20207,23767,     Bungkan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     หนองบัวลำภู ,,8386,5532,7326,8318,11030,11889,14012,17139,15390,22553,     Nong Bua Lam Phu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ขอนแก่น ,,11521,9757,11554,13088,11349,15065,19779,16030,18095,21337,     Khon Kaen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อุดรธานี ,,7744,6841,9885,10789,14097,17273,16684,22017,25966,22817,     Udon Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เลย ,,9905,7387,9289,10013,12083,13765,13411,17958,16338,20990,     Loei ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     หนองคาย ,,12548,7123,11001,11466,12877,12885,14467,16979,18058,21207,     Nong Khai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     มหาสารคาม ,,8444,8746,9642,10178,13646,15812,19845,25461,21644,18540,     Maha Sarakham ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ร้อยเอ็ด ,,5987,7207,9442,9817,10849,11779,14932,20167,20505,19990,     Roi Et ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     กาฬสินธุ์ ,,6908,6469,8736,8908,12470,12507,11748,17293,13921,15452,     Kalasin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สกลนคร ,,7660,7751,10227,8971,11295,11957,16679,15326,16854,19281,     Sakon Nakhon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครพนม ,,7909,5343,7613,8168,9927,10009,12859,14053,14310,15804,     Nakhon Phanom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     มุกดาหาร ,,9890,9485,9236,9284,13497,13406,17370,19048,16494,22870,     Mukdahan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคใต้ ,,11461,11186,12487,14469,18668,19716,22926,27326,27504,26286, Southern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครศรีธรรมราช ,,11196,10789,12317,14079,17377,18087,23296,29970,27479,25124,     Nakhon Si Thammarat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     กระบี่ ,,11986,9928,13318,16877,18446,18852,23647,33350,27276,31012,     Krabi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พังงา ,,7650,10217,12428,16965,29617,22211,22356,24470,26168,28842,     Phangnga ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ภูเก็ต ,,19313,20702,26363,25082,25630,25084,28515,26048,31857,31500,     Phuket ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สุราษฎร์ธานี ,,11967,10800,14056,16150,21747,26207,30604,34417,36865,36466,     Surat Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ระนอง ,,9033,9410,10765,14328,18679,21620,19274,26049,32292,22035,     Ranong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ชุมพร ,,10232,10454,10922,11482,17232,19003,25179,28022,27540,29306,     Chumphon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สงขลา ,,15057,13505,14192,15481,22093,22342,27356,26711,26824,27660,     Songkhla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สตูล ,,8924,9711,12702,11826,14307,17328,20695,21047,25400,23209,     Satun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ตรัง ,,12973,12782,14332,17038,20801,23650,21992,36245,33270,23309,     Trang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พัทลุง ,,12315,11550,10820,14985,18045,18670,19381,25202,26169,21478,     Phattalung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ปัตตานี ,,10737,9759,9702,11837,12547,11840,13511,16122,20199,17513,     Pattani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ยะลา ,,7560,9932,10018,11886,14354,13698,19619,21859,22483,15584,     Yala ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นราธิวาส ,,6281,7802,7603,9240,11586,13148,11244,16834,16773,19890,     Narathiwat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ที่มา:,การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน  สำนักงานสถิติแห่งชาติ  กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"The Household Socio - Economic Survey, National Statistical Office, Ministry of Information and Communication Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
